"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"CHD2",0.437143339214158,0.546030405405405,0.454885315410436,0.595,0.531,1
"SPTY2D1",0.437184194218364,0.457981418918919,-1.73738492131373,0.378,0.406,1
"WDFY3",0.437249038027183,0.545608108108108,0.897512351935469,0.554,0.531,1
"TRIM23",0.437273145752005,0.535684121621622,1.21749594189306,0.257,0.188,1
"MIGA1",0.43757728438719,0.467271959459459,1.92057890868985,0.162,0.25,1
"AMMECR1",0.437826705481761,0.454180743243243,-1.08304198608664,0.554,0.594,1
"MGAT5",0.438162037241426,0.547508445945946,0.421032588075148,0.797,0.719,1
"ASMTL",0.438318218956397,0.538429054054054,1.82713868754995,0.311,0.25,1
"ABCC5",0.43833251029816,0.461570945945946,-0.306129385040624,0.27,0.344,1
"TMEM183A",0.438867838082086,0.459037162162162,-0.849108575257233,0.351,0.375,1
"ACSL1",0.439447631764592,0.463471283783784,2.05358104020484,0.216,0.344,1
"TMED5",0.439874808325538,0.453336148648649,0.28594782795787,0.581,0.844,1
"MRPL10",0.439889784767845,0.539484797297297,0.994220427167903,0.338,0.281,1
"ZC2HC1A",0.439898323039636,0.459459459459459,0.703394685275969,0.311,0.438,1
"FAM63B",0.439987627368257,0.471072635135135,-0.480100955572619,0.122,0.188,1
"NMT1",0.439993773000315,0.458826013513513,-0.566276250962498,0.351,0.406,1
"PIK3R3",0.440127276921781,0.468116554054054,-1.36192939631505,0.162,0.219,1
"ZC3H14",0.440512052308945,0.45629222972973,-0.378517353134008,0.432,0.531,1
"EML1",0.440868967057297,0.545396959459459,1.40760276480206,0.541,0.594,1
"MTMR3",0.441244781966853,0.540751689189189,1.69567462128031,0.365,0.344,1
"LIN52",0.442352474377563,0.460726351351351,0.874442860601197,0.27,0.438,1
"THAP7",0.442684432321394,0.540540540540541,1.25724625347239,0.378,0.312,1
"AGMAT",0.4437767890019,0.544341216216216,1.02268703225906,0.514,0.5,1
"DLG2",0.44430347142133,0.546875,0.451789254454328,0.757,0.812,1
"TRRAP",0.445666392112889,0.541807432432432,1.90470836429135,0.419,0.375,1
